Date, Open, High, Low, Close
04/27/12, 1400.19, 1406.64, 1397.31, 1403.36
04/26/12, 1390.64, 1402.09, 1387.28, 1399.98
04/25/12, 1372.11, 1391.37, 1372.11, 1390.69
04/24/12, 1366.97, 1375.57, 1366.82, 1371.97
04/23/12, 1378.53, 1378.53, 1358.79, 1366.94
04/20/12, 1376.96, 1387.40, 1376.96, 1378.53
04/19/12, 1385.08, 1390.46, 1370.30, 1376.92
04/18/12, 1390.78, 1390.78, 1383.29, 1385.14
04/17/12, 1369.57, 1392.76, 1369.57, 1390.78
04/16/12, 1370.27, 1379.66, 1365.38, 1369.57
04/13/12, 1387.61, 1387.61, 1369.85, 1370.26
04/12/12, 1368.77, 1388.13, 1368.77, 1387.57
04/11/12, 1358.98, 1374.71, 1358.98, 1368.71
04/10/12, 1382.18, 1383.01, 1357.38, 1358.59
04/09/12, 1397.45, 1397.45, 1378.24, 1382.20
04/05/12, 1398.79, 1401.60, 1392.92, 1398.08
04/04/12, 1413.09, 1413.09, 1394.09, 1398.96
04/03/12, 1418.98, 1419.00, 1404.62, 1413.38
04/02/12, 1408.47, 1422.38, 1404.46, 1419.04
03/30/12, 1403.31, 1410.89, 1401.42, 1408.47
03/29/12, 1405.39, 1405.39, 1391.56, 1403.28
03/28/12, 1412.52, 1413.65, 1397.20, 1405.54
03/27/12, 1416.55, 1419.15, 1411.95, 1412.52
03/26/12, 1397.11, 1416.58, 1397.11, 1416.51
03/23/12, 1392.78, 1399.18, 1386.87, 1397.11
03/22/12, 1402.89, 1402.89, 1388.73, 1392.78
03/21/12, 1405.52, 1407.75, 1400.64, 1402.89
03/20/12, 1409.59, 1409.59, 1397.68, 1405.52
03/19/12, 1404.17, 1414.00, 1402.43, 1409.75
03/16/12, 1402.55, 1405.88, 1401.47, 1404.17
03/15/12, 1394.17, 1402.63, 1392.78, 1402.60
03/14/12, 1395.95, 1399.42, 1389.97, 1394.28
03/13/12, 1371.92, 1396.13, 1371.92, 1395.95
03/12/12, 1370.78, 1373.04, 1366.69, 1371.09
03/09/12, 1365.97, 1374.76, 1365.97, 1370.87
03/08/12, 1352.65, 1368.72, 1352.65, 1365.91
03/07/12, 1343.39, 1354.85, 1343.39, 1352.63
03/06/12, 1363.63, 1363.63, 1340.03, 1343.36
03/05/12, 1369.59, 1369.59, 1359.13, 1364.33
03/02/12, 1374.09, 1374.53, 1366.42, 1369.63
03/01/12, 1365.90, 1376.17, 1365.90, 1374.09
02/29/12, 1372.20, 1378.04, 1363.81, 1365.68
02/28/12, 1367.56, 1373.09, 1365.97, 1372.18
02/27/12, 1365.20, 1371.94, 1354.92, 1367.59
02/24/12, 1363.46, 1368.92, 1363.46, 1365.74
02/23/12, 1357.53, 1364.24, 1352.28, 1363.46
02/22/12, 1362.11, 1362.70, 1355.53, 1357.66
02/21/12, 1361.22, 1367.76, 1358.11, 1362.21
02/17/12, 1358.06, 1363.40, 1357.24, 1361.23
02/16/12, 1342.61, 1359.02, 1341.22, 1358.04
02/15/12, 1350.52, 1355.87, 1340.80, 1343.23
02/14/12, 1351.30, 1351.30, 1340.83, 1350.50
02/13/12, 1343.06, 1353.35, 1343.06, 1351.77
02/10/12, 1351.21, 1351.21, 1337.35, 1342.64
02/09/12, 1349.97, 1354.32, 1344.63, 1351.95
02/08/12, 1347.04, 1351.00, 1341.95, 1349.96
02/07/12, 1344.33, 1349.24, 1335.92, 1347.05
02/06/12, 1344.32, 1344.36, 1337.52, 1344.33
02/03/12, 1326.21, 1345.34, 1326.21, 1344.90
02/02/12, 1324.24, 1329.19, 1321.57, 1325.54
02/01/12, 1312.45, 1330.52, 1312.45, 1324.09
01/31/12, 1313.53, 1321.41, 1306.69, 1312.41
01/30/12, 1316.16, 1316.16, 1300.49, 1313.01
01/27/12, 1318.25, 1320.06, 1311.72, 1316.33
01/26/12, 1326.28, 1333.47, 1313.60, 1318.43
01/25/12, 1314.40, 1328.30, 1307.65, 1326.05
01/24/12, 1315.96, 1315.96, 1306.06, 1314.65
01/23/12, 1315.29, 1322.28, 1309.89, 1316.00
01/20/12, 1314.49, 1315.38, 1309.17, 1315.38
01/19/12, 1308.07, 1315.49, 1308.07, 1314.50
01/18/12, 1293.65, 1308.11, 1290.99, 1308.04
01/17/12, 1290.22, 1303.00, 1290.22, 1293.67
01/13/12, 1294.82, 1294.82, 1277.58, 1289.09
01/12/12, 1292.48, 1296.82, 1285.77, 1295.50
01/11/12, 1292.02, 1293.80, 1285.41, 1292.48
01/10/12, 1280.77, 1296.46, 1280.77, 1292.08
01/09/12, 1277.83, 1281.99, 1274.55, 1280.70
01/06/12, 1280.93, 1281.84, 1273.34, 1277.81
01/05/12, 1277.30, 1283.05, 1265.26, 1281.06
01/04/12, 1277.03, 1278.73, 1268.10, 1277.30
01/03/12, 1258.86, 1284.62, 1258.86, 1277.06
