Date, Open, High, Low, Close
12/31/04, 1211.92, 1217.33, 1211.65, 1211.92
12/30/04, 1213.55, 1216.47, 1213.41, 1213.55
12/29/04, 1213.45, 1213.95, 1210.95, 1213.45
12/28/04, 1213.54, 1213.54, 1204.92, 1213.54
12/27/04, 1204.92, 1214.17, 1204.92, 1204.92
12/23/04, 1210.13, 1213.66, 1208.71, 1210.13
12/22/04, 1209.57, 1211.42, 1203.81, 1209.57
12/21/04, 1205.45, 1205.93, 1194.65, 1205.45
12/20/04, 1194.65, 1203.64, 1193.65, 1194.65
12/17/04, 1194.22, 1203.21, 1193.44, 1194.22
12/16/04, 1203.21, 1207.97, 1198.41, 1203.21
12/15/04, 1205.72, 1206.61, 1199.44, 1205.72
12/14/04, 1203.38, 1205.29, 1197.84, 1203.38
12/13/04, 1198.68, 1198.77, 1188.00, 1198.68
12/10/04, 1188.00, 1191.45, 1185.24, 1188.00
12/09/04, 1189.24, 1190.51, 1173.76, 1189.24
12/08/04, 1182.81, 1184.05, 1176.80, 1182.81
12/07/04, 1177.08, 1192.19, 1177.07, 1177.08
12/06/04, 1190.25, 1192.41, 1185.18, 1190.25
12/03/04, 1191.17, 1197.46, 1187.70, 1191.17
12/02/04, 1190.33, 1194.81, 1186.66, 1190.33
12/01/04, 1191.37, 1191.37, 1173.78, 1191.37
11/30/04, 1173.82, 1178.66, 1173.81, 1173.82
11/29/04, 1178.57, 1186.94, 1172.37, 1178.57
11/26/04, 1182.65, 1186.62, 1181.08, 1182.65
11/24/04, 1181.76, 1182.46, 1176.94, 1181.76
11/23/04, 1176.94, 1179.52, 1171.41, 1176.94
11/22/04, 1177.24, 1178.18, 1167.89, 1177.24
11/19/04, 1170.34, 1184.00, 1169.17, 1170.34
11/18/04, 1183.55, 1184.90, 1180.09, 1183.55
11/17/04, 1181.94, 1188.46, 1175.43, 1181.94
11/16/04, 1175.43, 1183.81, 1175.32, 1175.43
11/15/04, 1183.81, 1184.48, 1179.85, 1183.81
11/12/04, 1184.17, 1184.17, 1171.39, 1184.17
11/11/04, 1173.48, 1174.82, 1162.91, 1173.48
11/10/04, 1162.91, 1169.35, 1162.51, 1162.91
11/09/04, 1164.08, 1168.97, 1162.48, 1164.08
11/08/04, 1164.89, 1166.86, 1162.32, 1164.89
11/05/04, 1166.17, 1170.87, 1160.36, 1166.17
11/04/04, 1161.67, 1161.67, 1142.34, 1161.67
11/03/04, 1143.20, 1147.60, 1130.54, 1143.20
11/02/04, 1130.54, 1140.48, 1128.12, 1130.54
11/01/04, 1130.51, 1133.43, 1127.53, 1130.51
10/29/04, 1130.20, 1131.44, 1124.62, 1130.20
10/28/04, 1127.44, 1130.67, 1120.57, 1127.44
10/27/04, 1125.40, 1126.29, 1107.43, 1125.40
10/26/04, 1111.09, 1111.10, 1094.81, 1111.09
10/25/04, 1094.81, 1096.81, 1090.19, 1094.81
10/22/04, 1095.74, 1108.32, 1095.29, 1095.74
10/21/04, 1106.49, 1108.96, 1098.47, 1106.49
10/20/04, 1103.66, 1104.09, 1094.25, 1103.66
10/19/04, 1103.23, 1118.03, 1103.15, 1103.23
10/18/04, 1114.02, 1114.46, 1103.33, 1114.02
10/15/04, 1108.20, 1113.17, 1102.14, 1108.20
10/14/04, 1103.29, 1114.97, 1102.06, 1103.29
10/13/04, 1113.65, 1127.01, 1109.63, 1113.65
10/12/04, 1121.84, 1124.39, 1115.77, 1121.84
10/11/04, 1124.39, 1126.20, 1122.14, 1124.39
10/08/04, 1122.14, 1132.92, 1120.19, 1122.14
10/07/04, 1130.65, 1142.05, 1130.46, 1130.65
10/06/04, 1142.05, 1142.05, 1132.94, 1142.05
10/05/04, 1134.48, 1137.97, 1132.03, 1134.48
10/04/04, 1135.17, 1140.19, 1131.50, 1135.17
10/01/04, 1131.50, 1131.64, 1114.58, 1131.50
09/30/04, 1114.58, 1116.31, 1109.61, 1114.58
09/29/04, 1114.80, 1114.80, 1107.36, 1114.80
09/28/04, 1110.06, 1111.77, 1101.29, 1110.06
09/27/04, 1103.52, 1110.11, 1103.24, 1103.52
09/24/04, 1110.11, 1113.81, 1108.36, 1110.11
09/23/04, 1108.36, 1113.61, 1108.05, 1108.36
09/22/04, 1113.56, 1129.30, 1112.67, 1113.56
09/21/04, 1129.30, 1131.54, 1122.20, 1129.30
09/20/04, 1122.20, 1128.55, 1120.34, 1122.20
09/17/04, 1128.55, 1130.48, 1123.50, 1128.55
09/16/04, 1123.50, 1126.06, 1120.37, 1123.50
09/15/04, 1120.37, 1128.33, 1119.74, 1120.37
09/14/04, 1128.33, 1129.46, 1124.72, 1128.33
09/13/04, 1125.82, 1129.78, 1123.35, 1125.82
09/10/04, 1123.92, 1125.26, 1114.39, 1123.92
09/09/04, 1118.38, 1121.30, 1113.62, 1118.38
09/08/04, 1116.27, 1123.05, 1116.27, 1116.27
09/07/04, 1121.30, 1124.08, 1113.63, 1121.30
